ticker,exchange,assetType,priceCurrency,startDate,endDate
FOCS,NASDAQ,Stock,USD,7/26/18,8/11/20
JG,NASDAQ,Stock,USD,7/26/18,8/11/20
LQDA,NASDAQ,Stock,USD,7/26/18,8/11/20
PDD,NASDAQ,Stock,USD,7/26/18,8/11/20
TENB,NASDAQ,Stock,USD,7/26/18,8/11/20
AQST,NASDAQ,Stock,USD,7/25/18,8/11/20
GLACU,NASDAQ,Stock,USD,7/25/18,10/28/19
PRVB,NASDAQ,Stock,USD,7/24/18,8/11/20
MDGSW,NASDAQ,Stock,USD,7/23/18,8/11/20
REPL,NASDAQ,Stock,USD,7/20/18,8/11/20
AFIN,NASDAQ,Stock,USD,7/19/18,8/11/20
ALLK,NASDAQ,Stock,USD,7/19/18,8/11/20
CNST,NASDAQ,Stock,USD,7/19/18,8/11/20
ESTA,NASDAQ,Stock,USD,7/19/18,8/11/20
MYFW,NASDAQ,Stock,USD,7/19/18,8/11/20
TLRY,NASDAQ,Stock,USD,7/19/18,8/11/20
BRY,NASDAQ,Stock,USD,7/18/18,8/11/20
CCB,NASDAQ,Stock,USD,7/18/18,8/11/20
CRNX,NASDAQ,Stock,USD,7/18/18,8/11/20
HCCH,NASDAQ,Stock,USD,7/18/18,8/11/20
HCCHR,NASDAQ,Stock,USD,7/18/18,8/11/20
HCCHW,NASDAQ,Stock,USD,7/18/18,8/11/20
RUBY,NASDAQ,Stock,USD,7/18/18,8/11/20
RPAY,NASDAQ,Stock,USD,7/17/18,8/11/20
BROG,NASDAQ,Stock,USD,7/13/18,8/11/20
BROGR,NASDAQ,Stock,USD,7/13/18,12/20/19
BROGW,NASDAQ,Stock,USD,7/13/18,8/11/20
CMFNL,NASDAQ,Stock,USD,7/13/18,8/11/20
GLG,NASDAQ,Stock,USD,7/11/18,8/11/20
ALGRU,NASDAQ,Stock,USD,7/3/18,4/20/20
DOMO,NASDAQ,Stock,USD,6/29/18,8/11/20
LFAC,NASDAQ,Stock,USD,6/29/18,8/11/20
LFACW,NASDAQ,Stock,USD,6/29/18,8/11/20
ENTX,NASDAQ,Stock,USD,6/28/18,8/11/20
ENTXW,NASDAQ,Stock,USD,6/28/18,8/11/20
EVER,NASDAQ,Stock,USD,6/28/18,8/11/20
FTSV,NASDAQ,Stock,USD,6/28/18,4/7/20
HCCHU,NASDAQ,Stock,USD,6/28/18,8/11/20
STIM,NASDAQ,Stock,USD,6/28/18,8/11/20
TBIO,NASDAQ,Stock,USD,6/28/18,8/11/20
TCDA,NASDAQ,Stock,USD,6/28/18,8/11/20
CSSEP,NASDAQ,Stock,USD,6/27/18,8/11/20
HYRE,NASDAQ,Stock,USD,6/27/18,8/11/20
LOVE,NASDAQ,Stock,USD,6/27/18,8/11/20
NTGN,NASDAQ,Stock,USD,6/27/18,5/6/20
UXIN,NASDAQ,Stock,USD,6/27/18,8/11/20
AUTL,NASDAQ,Stock,USD,6/22/18,8/11/20
ECOR,NASDAQ,Stock,USD,6/22/18,8/11/20
APTX,NASDAQ,Stock,USD,6/21/18,8/11/20
AVRO,NASDAQ,Stock,USD,6/21/18,8/11/20
IIIV,NASDAQ,Stock,USD,6/21/18,8/11/20
KZR,NASDAQ,Stock,USD,6/21/18,8/11/20
MGTA,NASDAQ,Stock,USD,6/21/18,8/11/20
XERS,NASDAQ,Stock,USD,6/21/18,8/11/20
BROGU,NASDAQ,Stock,USD,6/20/18,12/20/19
EIDX,NASDAQ,Stock,USD,6/20/18,8/11/20
ESGRP,NASDAQ,Stock,USD,6/20/18,8/11/20
LFACU,NASDAQ,Stock,USD,6/20/18,8/11/20
TBRGU,NASDAQ,Stock,USD,6/19/18,7/11/19
GRIN,NASDAQ,Stock,USD,6/18/18,8/11/20
VRCA,NASDAQ,Stock,USD,6/15/18,8/11/20
COWNL,NASDAQ,Stock,USD,6/13/18,8/11/20
TDAC,NASDAQ,Stock,USD,6/13/18,8/11/20
TDACW,NASDAQ,Stock,USD,6/13/18,8/11/20
NKLA,NASDAQ,Stock,USD,6/11/18,8/11/20
NKLAW,NASDAQ,Stock,USD,6/11/18,8/11/20
HUGE,NASDAQ,Stock,USD,6/8/18,8/11/20
MGTX,NASDAQ,Stock,USD,6/8/18,8/11/20
IMV,NASDAQ,Stock,USD,6/1/18,8/11/20
EDRY,NASDAQ,Stock,USD,5/31/18,8/11/20
HJLI,NASDAQ,Stock,USD,5/31/18,8/11/20
HJLIW,NASDAQ,Stock,USD,5/31/18,8/11/20
ONCY,NASDAQ,Stock,USD,5/31/18,8/11/20
TMCX,NASDAQ,Stock,USD,5/31/18,11/14/19
TMCXW,NASDAQ,Stock,USD,5/31/18,11/14/19
TDACU,NASDAQ,Stock,USD,5/30/18,8/11/20
PACQW,NASDAQ,Stock,USD,5/29/18,8/11/20
WRTC,NASDAQ,Stock,USD,5/29/18,8/11/20
HWCPL,NASDAQ,Stock,USD,5/25/18,8/11/20
ITRM,NASDAQ,Stock,USD,5/25/18,8/11/20
PSTVZ,NASDAQ,Stock,USD,5/25/18,5/26/20
AHCO,NASDAQ,Stock,USD,5/24/18,8/11/20
CLPS,NASDAQ,Stock,USD,5/24/18,8/11/20
GSKY,NASDAQ,Stock,USD,5/24/18,8/11/20
KNSA,NASDAQ,Stock,USD,5/24/18,8/11/20
SRRK,NASDAQ,Stock,USD,5/24/18,8/11/20
EVOP,NASDAQ,Stock,USD,5/23/18,8/11/20
XCUR,NASDAQ,Stock,USD,5/22/18,8/11/20
RILYH,NASDAQ,Stock,USD,5/18/18,8/11/20
PS,NASDAQ,Stock,USD,5/17/18,8/11/20
VTIQU,NASDAQ,Stock,USD,5/16/18,6/3/20
TMCXU,NASDAQ,Stock,USD,5/15/18,11/14/19
EVLO,NASDAQ,Stock,USD,5/8/18,8/11/20
OBNK,NASDAQ,Stock,USD,5/8/18,8/11/20
ASLN,NASDAQ,Stock,USD,5/4/18,8/11/20
CBLK,NASDAQ,Stock,USD,5/4/18,10/8/19
CHEKZ,NASDAQ,Stock,USD,5/4/18,8/11/20
JRSH,NASDAQ,Stock,USD,5/4/18,8/11/20
ROAD,NASDAQ,Stock,USD,5/4/18,8/11/20
STXB,NASDAQ,Stock,USD,5/4/18,8/11/20
BNTT,NASDAQ,Stock,USD,5/3/18,8/11/20
EDNT,NASDAQ,Stock,USD,5/3/18,8/11/20
UBX,NASDAQ,Stock,USD,5/3/18,8/11/20
XSPL,NASDAQ,Stock,USD,5/3/18,9/12/18
DOCU,NASDAQ,Stock,USD,4/27/18,8/11/20
GSHD,NASDAQ,Stock,USD,4/27/18,8/11/20
LASR,NASDAQ,Stock,USD,4/26/18,8/11/20
CLBK,NASDAQ,Stock,USD,4/20/18,8/11/20
LEVL,NASDAQ,Stock,USD,4/20/18,8/11/20
LMRKN,NASDAQ,Stock,USD,4/20/18,8/11/20
OFSSL,NASDAQ,Stock,USD,4/20/18,8/11/20
MOR,NASDAQ,Stock,USD,4/19/18,8/11/20
SURF,NASDAQ,Stock,USD,4/19/18,8/11/20
AGMH,NASDAQ,Stock,USD,4/18/18,8/11/20
BFST,NASDAQ,Stock,USD,4/11/18,8/11/20
PAVMZ,NASDAQ,Stock,USD,4/10/18,8/11/20
TIBR,NASDAQ,Stock,USD,4/10/18,3/17/20
TIBRW,NASDAQ,Stock,USD,4/10/18,3/17/20
GNPX,NASDAQ,Stock,USD,3/29/18,8/11/20
IQ,NASDAQ,Stock,USD,3/29/18,8/11/20
UMRX,NASDAQ,Stock,USD,3/29/18,8/11/20
BILI,NASDAQ,Stock,USD,3/28/18,8/11/20
FIXX,NASDAQ,Stock,USD,3/28/18,8/11/20
IEAWW,NASDAQ,Stock,USD,3/28/18,8/11/20
IEA,NASDAQ,Stock,USD,3/26/18,8/11/20
OPES,NASDAQ,Stock,USD,3/26/18,8/11/20
OPESW,NASDAQ,Stock,USD,3/26/18,8/11/20
RDVT,NASDAQ,Stock,USD,3/26/18,8/11/20
RDVTV,NASDAQ,Stock,USD,3/26/18,3/26/18
DBX,NASDAQ,Stock,USD,3/23/18,8/11/20
NEBUW,NASDAQ,Stock,USD,3/22/18,6/10/20
